Title,col,Price,Field2_links
Super Button Soccer,20 jul 2016,"
                        6,99€                    ",https://store.steampowered.com/app/425300/Super_Button_Soccer/?snr=1_7_7_230_150_518
Rift Keeper,15 jan 2019,"
                        8,19€                    ",https://store.steampowered.com/app/843360/Rift_Keeper/?snr=1_7_7_230_150_518
Bunka no Kenkyu - Revival of Queen Leyak -,15 sep 2017,"
                        9,99€                    ",https://store.steampowered.com/app/521420/Bunka_no_Kenkyu__Revival_of_Queen_Leyak/?snr=1_7_7_230_150_518
Yet Another World,30 nov 2015,"
                        6,59€                    ",https://store.steampowered.com/app/411740/Yet_Another_World/?snr=1_7_7_230_150_518
Project Explore,11 aug 2017,"
                        4,99€                    ",https://store.steampowered.com/app/357650/Project_Explore/?snr=1_7_7_230_150_518
Quantz,3 sep 2009,"
                        8,99€                    ",https://store.steampowered.com/app/37800/Quantz/?snr=1_7_7_230_150_518
Eternal Return,24 feb 2017,"
                        4,99€                    ",https://store.steampowered.com/app/528010/Eternal_Return/?snr=1_7_7_230_150_518
RPG Merchant,15 feb 2018,"
                        8,99€                    ",https://store.steampowered.com/app/789290/RPG_Merchant/?snr=1_7_7_230_150_518
Majula Frontier: The Offense,4 dec 2019,"
                        Gratis te spelen                    ",https://store.steampowered.com/app/1182070/Majula_Frontier_The_Offense/?snr=1_7_7_230_150_518
I Know Everything,7 jun 2019,"
                        3,29€                    ",https://store.steampowered.com/app/1040310/I_Know_Everything/?snr=1_7_7_230_150_518
Acorn Assault: Rodent Revolution,2 mrt 2016,"
                        8,19€                    ",https://store.steampowered.com/app/410290/Acorn_Assault_Rodent_Revolution/?snr=1_7_7_230_150_518
Lost in Paradise,20 aug 2015,"
                        2,99€                    ",https://store.steampowered.com/app/381170/Lost_in_Paradise/?snr=1_7_7_230_150_518
Alter World,29 mei 2015,"
                        1,80€                    ",https://store.steampowered.com/app/357280/Alter_World/?snr=1_7_7_230_150_518
Before Nightfall,28 jul 2018,"
                        0,99€                    ",https://store.steampowered.com/app/896380/Before_Nightfall/?snr=1_7_7_230_150_518
Date Write,1 feb 2019,"
                        2,39€                    ",https://store.steampowered.com/app/1009900/Date_Write/?snr=1_7_7_230_150_518
Echoes III,5 sep 2018,"
                        6,59€                    ",https://store.steampowered.com/app/841950/Echoes_III/?snr=1_7_7_230_150_518
Shop Tycoon The Boss,31 jul 2018,"
                        4,99€                    ",https://store.steampowered.com/app/590660/Shop_Tycoon_The_Boss/?snr=1_7_7_230_150_518
King of Dragon Balls,23 jul 2019,"
                        0,79€                    ",https://store.steampowered.com/app/1114000/King_of_Dragon_Balls/?snr=1_7_7_230_150_518
(VR)西汉帝陵 The Han Dynasty Imperial Mausoleums,21 jan 2017,"
                        1,99€                    ",https://store.steampowered.com/app/568330/VR_The_Han_Dynasty_Imperial_Mausoleums/?snr=1_7_7_230_150_518
Exodus from the Earth ,24 okt 2008,"
                        13,99€                    ",https://store.steampowered.com/app/12390/Exodus_from_the_Earth/?snr=1_7_7_230_150_518
PLUTONIUM,10 mei 2017,"
                        1,99€                    ",https://store.steampowered.com/app/634700/PLUTONIUM/?snr=1_7_7_230_150_518
Pyrax,1 mrt 2020,"
                        0,79€                    ",https://store.steampowered.com/app/1106350/Pyrax/?snr=1_7_7_230_150_518
Star Fields,6 aug 2016,"
                        0,79€                    ",https://store.steampowered.com/app/499420/Star_Fields/?snr=1_7_7_230_150_518
Calico & Co.,30 mei 2018,"
                        3,99€                    ",https://store.steampowered.com/app/620580/Calico__Co/?snr=1_7_7_230_150_518
Calico & Co.,30 mei 2018,"
                        3,99€                    ",https://store.steampowered.com/app/620580/Calico__Co/?snr=1_7_7_230_150_519
Popap,18 mrt 2017,"
                        0,99€                    ",https://store.steampowered.com/app/607680/Popap/?snr=1_7_7_230_150_519
Shalnor Legends: Sacred Lands,26 jan 2018,"
                        9,99€                    ",https://store.steampowered.com/app/651680/Shalnor_Legends_Sacred_Lands/?snr=1_7_7_230_150_519
Prevent The Fall,31 jul 2017,"
                        9,99€                    ",https://store.steampowered.com/app/595090/Prevent_The_Fall/?snr=1_7_7_230_150_519
Fatal Stormer,4 apr 2018,"
                        3,99€                    ",https://store.steampowered.com/app/818220/Fatal_Stormer/?snr=1_7_7_230_150_519
Stop Online - Battle of Words,15 jan 2016,"
                        4,99€                    ",https://store.steampowered.com/app/406310/Stop_Online__Battle_of_Words/?snr=1_7_7_230_150_519
Multirotor Sim 2,9 dec 2019,"
                        3,99€                    ",https://store.steampowered.com/app/528900/Multirotor_Sim_2/?snr=1_7_7_230_150_519
EILF,30 apr 2019,"
                        Gratis te spelen                    ",https://store.steampowered.com/app/1069670/EILF/?snr=1_7_7_230_150_519
Matchville - Match 3 Puzzle,18 jun 2019,"
                        Gratis te spelen                    ",https://store.steampowered.com/app/695720/Matchville__Match_3_Puzzle/?snr=1_7_7_230_150_519
Shoppy Mart: Steam Edition,25 sep 2015,"
                        1,99€                    ",https://store.steampowered.com/app/388360/Shoppy_Mart_Steam_Edition/?snr=1_7_7_230_150_519
天罡星宿海 The sea of TianGang XinSu,15 mrt 2019,"
                        6,59€                    ",https://store.steampowered.com/app/962290/_The_sea_of_TianGang_XinSu/?snr=1_7_7_230_150_519
PANIC STATION,25 aug 2020,"
                        1,59€                    ",https://store.steampowered.com/app/1386980/PANIC_STATION/?snr=1_7_7_230_150_519
Beyond the Wall,8 aug 2017,"
                        2,99€                    ",https://store.steampowered.com/app/684560/Beyond_the_Wall/?snr=1_7_7_230_150_519
Planetship,25 sep 2015,"
                        8,99€                    ",https://store.steampowered.com/app/337280/Planetship/?snr=1_7_7_230_150_519
Silverfall: Complete,,"
                        9,99€                    ",https://store.steampowered.com/sub/877/?snr=1_7_7_230_150_519
Arctic alive,29 jan 2016,"
                        1,99€                    ",https://store.steampowered.com/app/436860/Arctic_alive/?snr=1_7_7_230_150_519
Karma Miwa,12 aug 2016,"
                        0,79€                    ",https://store.steampowered.com/app/485660/Karma_Miwa/?snr=1_7_7_230_150_519
Valentine Panic,13 okt 2017,"
                        0,99€                    ",https://store.steampowered.com/app/658060/Valentine_Panic/?snr=1_7_7_230_150_519
Mad Sector,14 jul 2017,"
                        2,99€                    ",https://store.steampowered.com/app/658120/Mad_Sector/?snr=1_7_7_230_150_519
The Curse of Nordic Cove,23 apr 2015,"
                        0,99€                    ",https://store.steampowered.com/app/358000/The_Curse_of_Nordic_Cove/?snr=1_7_7_230_150_519
Unforgiven VR,23 feb 2017,"
                        9,99€                    ",https://store.steampowered.com/app/546210/Unforgiven_VR/?snr=1_7_7_230_150_519
Arena,17 mei 2019,"
                        Gratis te spelen                    ",https://store.steampowered.com/app/717300/Arena/?snr=1_7_7_230_150_519
Squirbs,6 jan 2016,"
                        0,79€                    ",https://store.steampowered.com/app/429700/Squirbs/?snr=1_7_7_230_150_519
Sniper Ghost Warrior 3 - Season Pass,17 apr 2017,"
                        9,99€                    ",https://store.steampowered.com/sub/146591/?snr=1_7_7_230_150_519
The Spirits of Kelley Family,31 jan 2020,"
                        2,70€                    ",https://store.steampowered.com/app/1215710/The_Spirits_of_Kelley_Family/?snr=1_7_7_230_150_519
PT Boats Gold,28 okt 2011,"
                        10,99€                    ",https://store.steampowered.com/sub/12139/?snr=1_7_7_230_150_519
The Station VR,13 dec 2019,"
                        8,19€                    ",https://store.steampowered.com/app/877510/The_Station_VR/?snr=1_7_7_230_150_519
Defragmented,12 feb 2016,"
                        8,19€                    ",https://store.steampowered.com/app/426170/Defragmented/?snr=1_7_7_230_150_519
The Rare Nine,31 okt 2017,"
                        1,59€                    ",https://store.steampowered.com/app/726800/The_Rare_Nine/?snr=1_7_7_230_150_519
DENIAL,4 mei 2020,"
                        12,49€                    ",https://store.steampowered.com/app/1278230/DENIAL/?snr=1_7_7_230_150_519
Overcoming Pain,26 dec 2017,"
                        2,99€                    ",https://store.steampowered.com/app/763070/Overcoming_Pain/?snr=1_7_7_230_150_519
弹幕那个恶人,21 mrt 2019,"
                        1,59€                    ",https://store.steampowered.com/app/1043470/_/?snr=1_7_7_230_150_519
MechaGore,15 jun 2016,"
                        1,59€                    ",https://store.steampowered.com/app/476710/MechaGore/?snr=1_7_7_230_150_519
Pocket God vs Desert Ashes,20 aug 2015,"
                        4,99€                    ",https://store.steampowered.com/app/324400/Pocket_God_vs_Desert_Ashes/?snr=1_7_7_230_150_519
Girlfriend Cards,20 sep 2018,"
                        0,99€                    ",https://store.steampowered.com/app/907460/Girlfriend_Cards/?snr=1_7_7_230_150_519
ASRECorp,22 jul 2016,"
                        0,99€                    ",https://store.steampowered.com/app/498580/ASRECorp/?snr=1_7_7_230_150_519
Grape Jelly,3 okt 2017,"
                        1,59€                    ",https://store.steampowered.com/app/716940/Grape_Jelly/?snr=1_7_7_230_150_520
Threads of Destiny,5 dec 2015,"
                        3,99€                    ",https://store.steampowered.com/app/424870/Threads_of_Destiny/?snr=1_7_7_230_150_520
Robo Do It,21 feb 2017,"
                        0,79€                    ",https://store.steampowered.com/app/595640/Robo_Do_It/?snr=1_7_7_230_150_520
Fantasy Gladiators,8 aug 2020,"
                        Gratis te spelen                    ",https://store.steampowered.com/app/1377370/Fantasy_Gladiators/?snr=1_7_7_230_150_520
Regenesis Arcade,7 sep 2018,"
                        6,59€                    ",https://store.steampowered.com/app/753370/Regenesis_Arcade/?snr=1_7_7_230_150_520
NaziShootout,8 mrt 2018,"
                        4,99€                    ",https://store.steampowered.com/app/802850/NaziShootout/?snr=1_7_7_230_150_520
Magic Quest,7 mei 2016,"
                        1,99€                    ",https://store.steampowered.com/app/454870/Magic_Quest/?snr=1_7_7_230_150_520
Plastiland,1 dec 2015,"
                        7,99€                    ",https://store.steampowered.com/app/421880/Plastiland/?snr=1_7_7_230_150_520
Hidden: On the trail of the Ancients,5 aug 2015,"
                        9,99€                    ",https://store.steampowered.com/app/352580/Hidden_On_the_trail_of_the_Ancients/?snr=1_7_7_230_150_520
Blasting Agent: Ultimate Edition,18 aug 2016,"
                        2,99€                    ",https://store.steampowered.com/app/453810/Blasting_Agent_Ultimate_Edition/?snr=1_7_7_230_150_520
XNemesis,7 jun 2016,"
                        0,99€                    ",https://store.steampowered.com/app/399240/XNemesis/?snr=1_7_7_230_150_520
Vicky Saves the Big Dumb World,1 okt 2015,"
                        0,79€                    ",https://store.steampowered.com/app/404660/Vicky_Saves_the_Big_Dumb_World/?snr=1_7_7_230_150_520
EXAELLA OVG,15 mei 2018,"
                        6,59€                    ",https://store.steampowered.com/app/851370/EXAELLA_OVG/?snr=1_7_7_230_150_520
Envy the Dead,12 sep 2016,"
                        0,99€                    ",https://store.steampowered.com/app/453960/Envy_the_Dead/?snr=1_7_7_230_150_520
The East New World,27 apr 2016,"
                        3,99€                    ",https://store.steampowered.com/app/462950/The_East_New_World/?snr=1_7_7_230_150_520
Rampage of the Dead,20 jul 2018,"
                        1,59€                    ",https://store.steampowered.com/app/890640/Rampage_of_the_Dead/?snr=1_7_7_230_150_520
1Quest,3 dec 2014,"
                        3,99€                    ",https://store.steampowered.com/app/332710/1Quest/?snr=1_7_7_230_150_520
Town of Night,17 nov 2016,"
                        0,79€                    ",https://store.steampowered.com/app/546990/Town_of_Night/?snr=1_7_7_230_150_520
Marble Mountain,5 apr 2016,"
                        3,99€                    ",https://store.steampowered.com/app/409390/Marble_Mountain/?snr=1_7_7_230_150_520
Rising Islands,2 aug 2016,"
                        9,99€                    ",https://store.steampowered.com/app/452450/Rising_Islands/?snr=1_7_7_230_150_520
Brain Booster,26 dec 2016,"
                        0,99€                    ",https://store.steampowered.com/app/543430/Brain_Booster/?snr=1_7_7_230_150_520
Blueprint Word,17 jun 2018,"
                        1,59€                    ",https://store.steampowered.com/app/870180/Blueprint_Word/?snr=1_7_7_230_150_520
Speed Kills,16 mei 2014,"
                        3,99€                    ",https://store.steampowered.com/app/284930/Speed_Kills/?snr=1_7_7_230_150_520
Felis,28 dec 2016,"
                        3,29€                    ",https://store.steampowered.com/app/572040/Felis/?snr=1_7_7_230_150_520
Soccertron,13 mrt 2015,"
                        1,59€                    ",https://store.steampowered.com/app/334620/Soccertron/?snr=1_7_7_230_150_520
Card of spirits(卡灵),21 jun 2016,"
                        0,79€                    ",https://store.steampowered.com/app/486850/Card_of_spirits/?snr=1_7_7_230_150_520
Pitiri 1977,7 nov 2014,"
                        3,99€                    ",https://store.steampowered.com/app/305740/Pitiri_1977/?snr=1_7_7_230_150_520
Warriors' Wrath,26 mei 2016,"
                        0,79€                    ",https://store.steampowered.com/app/466420/Warriors_Wrath/?snr=1_7_7_230_150_520
Trino,27 jan 2011,"
                        4,49€                    ",https://store.steampowered.com/app/42000/Trino/?snr=1_7_7_230_150_520
Bunker - The Underground Game,21 mei 2015,"
                        3,99€                    ",https://store.steampowered.com/app/354180/Bunker__The_Underground_Game/?snr=1_7_7_230_150_520
Super Friends Party,14 jun 2019,"
                        Gratis te spelen                    ",https://store.steampowered.com/app/1075140/Super_Friends_Party/?snr=1_7_7_230_150_520
VR Escape the space station,25 aug 2016,"
                        6,99€                    ",https://store.steampowered.com/app/513420/VR_Escape_the_space_station/?snr=1_7_7_230_150_520
Land Of The Void,6 mrt 2019,"
                        5,69€                    ",https://store.steampowered.com/app/1015700/Land_Of_The_Void/?snr=1_7_7_230_150_520
曲阿小将 Minor Leader,20 nov 2019,"
                        5,69€                    ",https://store.steampowered.com/app/1118100/_Minor_Leader/?snr=1_7_7_230_150_520
Prisoner,17 jul 2017,"
                        2,99€                    ",https://store.steampowered.com/app/653210/Prisoner/?snr=1_7_7_230_150_520
Reboant Demo,22 nov 2017,"
                        0,99€                    ",https://store.steampowered.com/app/708370/Reboant_Demo/?snr=1_7_7_230_150_520
Secret in Story,19 jun 2017,"
                        0,99€                    ",https://store.steampowered.com/app/613010/Secret_in_Story/?snr=1_7_7_230_150_520
Conjuntalia,28 jul 2017,"
                        0,79€                    ",https://store.steampowered.com/app/619340/Conjuntalia/?snr=1_7_7_230_150_520
Voice of Pripyat,19 nov 2014,"
                        6,99€                    ",https://store.steampowered.com/app/269530/Voice_of_Pripyat/?snr=1_7_7_230_150_521
Dead Cubes,19 feb 2020,"
                        3,29€                    ",https://store.steampowered.com/app/1238320/Dead_Cubes/?snr=1_7_7_230_150_521
Z-End,8 dec 2017,"
                        3,99€                    ",https://store.steampowered.com/app/582610/ZEnd/?snr=1_7_7_230_150_521
The Purge Day,25 nov 2016,"
                        2,99€                    ",https://store.steampowered.com/app/553450/The_Purge_Day/?snr=1_7_7_230_150_521
Plain Sight,5 apr 2010,"
                        4,99€                    ",https://store.steampowered.com/app/49900/Plain_Sight/?snr=1_7_7_230_150_521
Lamia's Game Room,17 feb 2016,"
                        0,99€                    ",https://store.steampowered.com/app/434680/Lamias_Game_Room/?snr=1_7_7_230_150_521
Veteran Combat,16 feb 2015,,https://store.steampowered.com/app/351420/Veteran_Combat/?snr=1_7_7_230_150_521
Drawn™: Dark Flight,20 jan 2016,"
                        9,99€                    ",https://store.steampowered.com/app/433360/Drawn_Dark_Flight/?snr=1_7_7_230_150_521
Neon Hardcorps,30 mei 2016,"
                        0,79€                    ",https://store.steampowered.com/app/454200/Neon_Hardcorps/?snr=1_7_7_230_150_521
iso-Sphere,13 nov 2015,"
                        3,99€                    ",https://store.steampowered.com/app/414060/isoSphere/?snr=1_7_7_230_150_521
Mindless Running,18 feb 2016,"
                        0,99€                    ",https://store.steampowered.com/app/444260/Mindless_Running/?snr=1_7_7_230_150_521
Zombies In The Forest,29 mrt 2019,"
                        0,79€                    ",https://store.steampowered.com/app/1035190/Zombies_In_The_Forest/?snr=1_7_7_230_150_521
Dark Throne,3 mrt 2017,"
                        0,99€                    ",https://store.steampowered.com/app/587490/Dark_Throne/?snr=1_7_7_230_150_521
Return NULL - Episode 1,2 apr 2015,"
                        Gratis                    ",https://store.steampowered.com/app/357370/Return_NULL__Episode_1/?snr=1_7_7_230_150_521
Lost in a Forest,26 jan 2015,"
                        1,50€                    ",https://store.steampowered.com/app/345280/Lost_in_a_Forest/?snr=1_7_7_230_150_521
Trinity VR,20 nov 2018,"
                        2,39€                    ",https://store.steampowered.com/app/970130/Trinity_VR/?snr=1_7_7_230_150_521
Showing Tonight: Mindhunters Incident,12 nov 2015,"
                        2,39€                    ",https://store.steampowered.com/app/416370/Showing_Tonight_Mindhunters_Incident/?snr=1_7_7_230_150_521
Stop Santa - Tower Defense,4 dec 2017,"
                        0,99€                    ",https://store.steampowered.com/app/746410/Stop_Santa__Tower_Defense/?snr=1_7_7_230_150_521
Victory: The Age of Racing,12 feb 2016,"
                        Gratis te spelen                    ",https://store.steampowered.com/app/264120/Victory_The_Age_of_Racing/?snr=1_7_7_230_150_521
The Explorer of Night,22 mrt 2019,"
                        1,59€                    ",https://store.steampowered.com/app/1017580/The_Explorer_of_Night/?snr=1_7_7_230_150_521
Burst Into,4 apr 2018,"
                        2,39€                    ",https://store.steampowered.com/app/829080/Burst_Into/?snr=1_7_7_230_150_521
Shadowrain,3 feb 2020,"
                        0,79€                    ",https://store.steampowered.com/app/1175480/Shadowrain/?snr=1_7_7_230_150_521
True Bliss,22 mei 2015,"
                        5,59€                    ",https://store.steampowered.com/app/361620/True_Bliss/?snr=1_7_7_230_150_521
Stone Flower,22 sep 2017,"
                        1,99€                    ",https://store.steampowered.com/app/711560/Stone_Flower/?snr=1_7_7_230_150_521
Swiftly,26 jan 2016,"
                        0,99€                    ",https://store.steampowered.com/app/418610/Swiftly/?snr=1_7_7_230_150_521
Bladeline VR,12 nov 2018,"
                        9,99€                    ",https://store.steampowered.com/app/778110/Bladeline_VR/?snr=1_7_7_230_150_521
Everpath,23 mei 2019,"
                        2,39€                    ",https://store.steampowered.com/app/1004560/Everpath/?snr=1_7_7_230_150_521
Ninja Cats vs Samurai Dogs,21 feb 2014,"
                        4,99€                    ",https://store.steampowered.com/app/260380/Ninja_Cats_vs_Samurai_Dogs/?snr=1_7_7_230_150_521
Emerald Lake,27 jul 2020,"
                        3,29€                    ",https://store.steampowered.com/app/1363660/Emerald_Lake/?snr=1_7_7_230_150_521
1HEART,13 okt 2014,"
                        9,99€                    ",https://store.steampowered.com/app/270190/1HEART/?snr=1_7_7_230_150_521
Shepherds of the Abyss,18 nov 2016,"
                        5,99€                    ",https://store.steampowered.com/app/438300/Shepherds_of_the_Abyss/?snr=1_7_7_230_150_521
Biodrone Battle,16 jul 2015,"
                        1,99€                    ",https://store.steampowered.com/app/377290/Biodrone_Battle/?snr=1_7_7_230_150_521
Murder,21 okt 2015,"
                        0,99€                    ",https://store.steampowered.com/app/404080/Murder/?snr=1_7_7_230_150_521
Pylon: Rogue,21 sep 2017,"
                        14,99€                    ",https://store.steampowered.com/app/386100/Pylon_Rogue/?snr=1_7_7_230_150_521
Exodus,11 jul 2014,"
                        0,99€                    ",https://store.steampowered.com/app/313960/Exodus/?snr=1_7_7_230_150_522
Mars Colony:Challenger,4 mrt 2014,"
                        4,99€                    ",https://store.steampowered.com/app/277910/Mars_ColonyChallenger/?snr=1_7_7_230_150_522
Blackfaun,27 okt 2016,"
                        3,99€                    ",https://store.steampowered.com/app/409460/Blackfaun/?snr=1_7_7_230_150_522
I was rebuilt,28 jun 2018,"
                        3,29€                    ",https://store.steampowered.com/app/560080/I_was_rebuilt/?snr=1_7_7_230_150_522
Cube Defense,22 mrt 2019,"
                        0,79€                    ",https://store.steampowered.com/app/999640/Cube_Defense/?snr=1_7_7_230_150_522
Mittelborg: City of Mages,20 jun 2019,"
                        12,49€                    ",https://store.steampowered.com/app/956060/Mittelborg_City_of_Mages/?snr=1_7_7_230_150_522
Mind Unleashed,5 mei 2016,"
                        2,99€                    ",https://store.steampowered.com/app/450740/Mind_Unleashed/?snr=1_7_7_230_150_522
Tic-Toc-Tower,28 sep 2015,"
                        2,99€                    ",https://store.steampowered.com/app/389310/TicTocTower/?snr=1_7_7_230_150_522
Inside The Gear,21 nov 2014,"
                        1,99€                    ",https://store.steampowered.com/app/333120/Inside_The_Gear/?snr=1_7_7_230_150_522
The Last Patient,16 mrt 2017,"
                        1,59€                    ",https://store.steampowered.com/app/594160/The_Last_Patient/?snr=1_7_7_230_150_522
Underground Keeper,15 aug 2016,,https://store.steampowered.com/app/497040/Underground_Keeper/?snr=1_7_7_230_150_522
Explomania,22 feb 2018,,https://store.steampowered.com/app/656440/Explomania/?snr=1_7_7_230_150_522
Slybots: Frantic Zone,18 jan 2016,"
                        6,99€                    ",https://store.steampowered.com/app/384100/Slybots_Frantic_Zone/?snr=1_7_7_230_150_522
Ancient Anathema,28 jan 2019,,https://store.steampowered.com/app/1010540/Ancient_Anathema/?snr=1_7_7_230_150_522
Gear City Against Chaos,16 nov 2019,"
                        0,79€                    ",https://store.steampowered.com/app/1069710/Gear_City_Against_Chaos/?snr=1_7_7_230_150_522
Quick Draw,10 jan 2017,"
                        0,79€                    ",https://store.steampowered.com/app/522250/Quick_Draw/?snr=1_7_7_230_150_522
Lost Legends: The Pharaoh's Tomb,30 jun 2017,"
                        2,99€                    ",https://store.steampowered.com/app/652830/Lost_Legends_The_Pharaohs_Tomb/?snr=1_7_7_230_150_522
String Theory,17 feb 2016,"
                        8,99€                    ",https://store.steampowered.com/app/402150/String_Theory/?snr=1_7_7_230_150_522
Lost,9 jul 2018,"
                        0,79€                    ",https://store.steampowered.com/app/853580/Lost/?snr=1_7_7_230_150_522
Naval Warfare,26 mei 2011,"
                        2,99€                    ",https://store.steampowered.com/app/98500/Naval_Warfare/?snr=1_7_7_230_150_522
Annie Amber,17 jun 2016,"
                        2,39€                    ",https://store.steampowered.com/app/464440/Annie_Amber/?snr=1_7_7_230_150_522
Wild Warfare,16 jul 2014,"
                        Gratis                    ",https://store.steampowered.com/app/312150/Wild_Warfare/?snr=1_7_7_230_150_522
Lionessy Story,3 jun 2017,"
                        4,99€                    ",https://store.steampowered.com/app/448690/Lionessy_Story/?snr=1_7_7_230_150_522
An Imp? A Fiend!,16 mrt 2015,"
                        0,99€                    ",https://store.steampowered.com/app/354960/An_Imp_A_Fiend/?snr=1_7_7_230_150_522
TAVERN GUARDIANS: BANQUET,30 nov 2018,"
                        3,29€                    ",https://store.steampowered.com/app/878350/TAVERN_GUARDIANS_BANQUET/?snr=1_7_7_230_150_522
Cyberpunk 3776,24 mrt 2015,"
                        3,99€                    ",https://store.steampowered.com/app/343170/Cyberpunk_3776/?snr=1_7_7_230_150_522
Zanshin,30 jan 2018,"
                        4,99€                    ",https://store.steampowered.com/app/768550/Zanshin/?snr=1_7_7_230_150_522
Super Death Arena,11 jan 2017,"
                        8,99€                    ",https://store.steampowered.com/app/567260/Super_Death_Arena/?snr=1_7_7_230_150_522
Little Awesome Dudes,5 sep 2019,"
                        5,69€                    ",https://store.steampowered.com/app/1133230/Little_Awesome_Dudes/?snr=1_7_7_230_150_522
Somewhere: Sect of Relic,5 mei 2020,"
                        3,99€                    ",https://store.steampowered.com/app/1224380/Somewhere_Sect_of_Relic/?snr=1_7_7_230_150_522
Cynoclept: The Game,25 aug 2017,"
                        0,99€                    ",https://store.steampowered.com/app/688880/Cynoclept_The_Game/?snr=1_7_7_230_150_522
Donald VS Martians,19 apr 2019,"
                        0,79€                    ",https://store.steampowered.com/app/987740/Donald_VS_Martians/?snr=1_7_7_230_150_522
Age of Steel: Recharge,6 jan 2016,"
                        6,99€                    ",https://store.steampowered.com/app/421060/Age_of_Steel_Recharge/?snr=1_7_7_230_150_523
Walking Girl: Dead Parking,3 okt 2020,"
                        1,59€                    ",https://store.steampowered.com/app/1409000/Walking_Girl_Dead_Parking/?snr=1_7_7_230_150_523
Pixelord,1 nov 2017,"
                        0,79€                    ",https://store.steampowered.com/app/737330/Pixelord/?snr=1_7_7_230_150_523
Immersion Chess,15 mei 2017,"
                        Gratis te spelen                    ",https://store.steampowered.com/app/631660/Immersion_Chess/?snr=1_7_7_230_150_523
Terracosmic,27 mei 2020,"
                        0,79€                    ",https://store.steampowered.com/app/1280500/Terracosmic/?snr=1_7_7_230_150_523
Nokori,25 mrt 2016,"
                        0,79€                    ",https://store.steampowered.com/app/455970/Nokori/?snr=1_7_7_230_150_523
Abrix 2 - Diamond version,29 apr 2016,"
                        1,59€                    ",https://store.steampowered.com/app/461850/Abrix_2__Diamond_version/?snr=1_7_7_230_150_523
ENEFN,23 jul 2020,"
                        2,39€                    ",https://store.steampowered.com/app/1248710/ENEFN/?snr=1_7_7_230_150_523
Harts,5 jan 2018,"
                        1,50€                    ",https://store.steampowered.com/app/769360/Harts/?snr=1_7_7_230_150_523
Hyper color ball,2 sep 2016,"
                        0,79€                    ",https://store.steampowered.com/app/515470/Hyper_color_ball/?snr=1_7_7_230_150_523
Galagan's Island: Reprymian Rising,16 jun 2015,"
                        1,99€                    ",https://store.steampowered.com/app/378850/Galagans_Island_Reprymian_Rising/?snr=1_7_7_230_150_523
Project Cabin,1 dec 2017,"
                        2,99€                    ",https://store.steampowered.com/app/747990/Project_Cabin/?snr=1_7_7_230_150_523
Project RPG Remastered,10 jan 2017,"
                        0,79€                    ",https://store.steampowered.com/app/455710/Project_RPG_Remastered/?snr=1_7_7_230_150_523
青蛙跳模拟器,7 feb 2019,"
                        0,79€                    ",https://store.steampowered.com/app/1013890/_/?snr=1_7_7_230_150_523
Crazy Archery,21 feb 2019,"
                        0,79€                    ",https://store.steampowered.com/app/1008680/Crazy_Archery/?snr=1_7_7_230_150_523
Kalaban,29 dec 2016,"
                        3,99€                    ",https://store.steampowered.com/app/571520/Kalaban/?snr=1_7_7_230_150_523
Orbit HD,18 mrt 2015,"
                        1,59€                    ",https://store.steampowered.com/app/356380/Orbit_HD/?snr=1_7_7_230_150_523
The Grave Digger,29 apr 2015,"
                        5,49€                    ",https://store.steampowered.com/app/345340/The_Grave_Digger/?snr=1_7_7_230_150_523
Janky Tanks,12 feb 2015,"
                        3,99€                    ",https://store.steampowered.com/app/344220/Janky_Tanks/?snr=1_7_7_230_150_523
The Cooking Game,21 okt 2016,"
                        Gratis te spelen                    ",https://store.steampowered.com/app/504310/The_Cooking_Game/?snr=1_7_7_230_150_523
Aegis,6 okt 2016,"
                        2,99€                    ",https://store.steampowered.com/app/530520/Aegis/?snr=1_7_7_230_150_523
Disdoored,31 mei 2018,"
                        16,79€                    ",https://store.steampowered.com/app/845630/Disdoored/?snr=1_7_7_230_150_523
The Ghosts of Hackney Mills,20 nov 2017,"
                        1,59€                    ",https://store.steampowered.com/app/739240/The_Ghosts_of_Hackney_Mills/?snr=1_7_7_230_150_523
Death by Game Show,22 jan 2016,"
                        1,59€                    ",https://store.steampowered.com/app/409730/Death_by_Game_Show/?snr=1_7_7_230_150_523
Fowl Space,21 mrt 2012,"
                        4,99€                    ",https://store.steampowered.com/app/109500/Fowl_Space/?snr=1_7_7_230_150_523
Cosmic Cavern 3671　　宇宙最大の地底最大の作戦,14 jul 2016,"
                        4,99€                    ",https://store.steampowered.com/app/496980/Cosmic_Cavern_3671/?snr=1_7_7_230_150_523
LAST WAR 2044,9 mrt 2018,"
                        3,29€                    ",https://store.steampowered.com/app/804460/LAST_WAR_2044/?snr=1_7_7_230_150_523
Rage Runner,16 mei 2014,"
                        4,99€                    ",https://store.steampowered.com/app/279520/Rage_Runner/?snr=1_7_7_230_150_523
Void Raiders,14 jun 2016,"
                        4,99€                    ",https://store.steampowered.com/app/445600/Void_Raiders/?snr=1_7_7_230_150_523
Rise: The Vieneo Province,4 feb 2020,"
                        16,79€                    ",https://store.steampowered.com/app/795990/Rise_The_Vieneo_Province/?snr=1_7_7_230_150_523
Zombie Pinball,21 jun 2016,"
                        4,99€                    ",https://store.steampowered.com/app/458510/Zombie_Pinball/?snr=1_7_7_230_150_523
